rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id
1,1,0:07:39,11496.0,1,0,Kento MOMOTA,1,發短球,0,1,2.0,7,,,1.0,7,164.4825938113537,382.6952485260047,,,,,8.0,0.07302121652607449,0.859690063933486,8.0,-0.32295969505514055,-0.8252679032472692,0,1,1,0
1,2,00:07:43,11582.0,1,0,CHOU Tien Chen,3,長球,0,1,2.0,7,620.0,407.0,2.0,10,257.62198870902193,821.4738396954635,出界,對手出界,A,,8.0,-0.28774214959264105,-0.5836199397540934,8.0,0.004422909232850887,0.9891221710729367,0,1,1,0
2,1,0:07:55,11881.0,2,0,Kento MOMOTA,1,發短球,0,1,2.0,7,,,2.0,8,226.21210958051176,359.9657479558914,,,,,8.0,-0.11815719852203634,0.8342477916462787,8.0,0.6938953761384166,-0.8209970529076115,0,1,1,1
2,2,0:07:56,11900.0,2,0,CHOU Tien Chen,2,推撲球,0,1,1.0,8,725.0,396.0,2.0,8,122.21069243087368,753.0677167525118,,,,,8.0,0.2739209667429419,-0.5925514064211225,8.0,0.0045257350127242925,0.9731277393124902,0,1,1,1
2,3,0:07:56,11921.0,2,0,Kento MOMOTA,2,殺球,0,0,2.0,8,527.0,627.0,1.0,8,154.17758349518564,262.31822851534326,,,,,8.0,-0.4720572474369823,1.3904032267922493,8.0,-0.09524896605568275,-1.0040498771052329,0,1,1,1
2,4,0:07:57,11934.0,2,0,CHOU Tien Chen,2,接殺防守,0,1,1.0,8,604.0,353.0,2.0,7,120.32878339951601,525.5834683291595,,,,,8.0,-0.29336891932635883,-1.1407673169877084,8.0,-0.3125860518662498,1.317883283073299,0,1,1,1
2,5,0:07:58,11952.0,2,0,Kento MOMOTA,2,推撲球,0,0,2.0,7,537.0,481.0,1.0,8,181.3442621572921,272.02032644048063,,,,,8.0,-0.47040290284586656,0.8329874775943669,8.0,-0.24569783429155218,-1.0291352451785423,0,1,1,1
2,6,0:07:58,11965.0,2,0,CHOU Tien Chen,3,平球,0,0,2.0,8,648.0,357.0,1.0,10,341.1620069598354,822.0997253435019,未過網,對手未過網,A,,8.0,0.03889960092827667,-0.9068455078578802,8.0,-0.19651075685684855,0.9483109937139584,0,1,1,1
3,1,0:08:11,12298.0,2,1,Kento MOMOTA,1,發短球,0,1,2.0,7,,,1.0,8,156.35815694129658,306.3619135197566,,,,,8.0,0.06652590575923303,0.8842830930602202,8.0,-0.36791839935930165,-0.8490659150160242,0,1,1,2
3,2,0:08:12,12313.0,2,1,CHOU Tien Chen,2,網前球,0,1,1.0,8,607.0,372.0,2.0,7,119.42673632148637,584.4025770234538,,,,,8.0,-0.4825784243398664,-0.5956634178388539,8.0,-0.16055860791670903,0.8998086599548696,0,1,1,2
3,3,0:08:13,12331.0,2,1,Kento MOMOTA,2,挑球,0,0,2.0,7,532.0,515.0,1.0,3,100.16048701892439,182.9987229774015,,,,,7.0,-0.7756935568631369,0.5761371324038352,8.0,-0.28502413682078354,-0.7782153007916218,0,1,1,2
3,4,0:08:14,12362.0,2,1,CHOU Tien Chen,2,殺球,0,0,1.0,3,521.0,321.0,2.0,8,212.43577566357857,666.3592186348399,,,,,9.0,-0.6105853931498693,-1.3984858848747794,8.0,-0.16375520195715934,1.1143527113391218,0,1,1,2
3,5,0:08:14,12372.0,2,1,Kento MOMOTA,2,接殺防守,0,1,1.0,8,715.0,566.0,2.0,7,247.30088783415016,377.1798390570807,,,,,8.0,-0.09768905005768806,1.1684573779535625,9.0,-0.568914834912094,-1.5043522462098167,0,1,1,2
3,6,0:08:16,12400.0,2,1,CHOU Tien Chen,2,挑球,0,1,2.0,7,762.0,404.0,1.0,8,116.1733731317386,754.3753330453136,,,,,8.0,0.6103883425706529,-0.6705462365834842,8.0,0.26147388920280296,1.0925277033062553,0,1,1,2
3,7,0:08:17,12429.0,2,1,Kento MOMOTA,2,殺球,0,0,1.0,8,514.0,628.0,2.0,8,106.36986478205814,275.9535726526672,,,,,9.0,-0.3033790701273135,1.6024614903835885,8.0,-0.042772532529921095,-0.9794983577793571,0,1,1,2
3,8,0:08:17,12446.0,2,1,CHOU Tien Chen,2,接殺防守,0,0,1.0,8,526.0,359.0,2.0,7,108.01983961602379,527.2631914565007,,,,,8.0,-0.5549687616982305,-0.8974022703442858,8.0,-0.28406448377300714,1.2958038332915638,0,1,1,2
3,9,0:08:18,12465.0,2,1,Kento MOMOTA,2,網前球,0,0,1.0,7,514.0,482.0,2.0,2,253.35013103803482,385.6304064249273,,,,,8.0,-0.7880675714571747,0.946219808326811,8.0,-0.3040546197475163,-0.9563941368238721,0,1,1,2
3,10,0:08:19,12492.0,2,1,CHOU Tien Chen,2,網前球,0,1,1.0,2,773.0,408.0,2.0,1,252.5052439254275,505.01544589210954,,,,,7.0,0.6338395777009291,-0.38176872231077336,8.0,0.12660014872337638,0.9494532082696873,0,1,1,2
3,11,0:08:20,12516.0,2,1,Kento MOMOTA,2,挑球,0,1,2.0,1,781.0,469.0,1.0,3,84.5039646500384,193.0184888185077,,,,,7.0,0.7093583034524069,0.47504118643665966,8.0,0.6757077432903108,-0.6702755868928524,0,1,1,2
3,12,0:08:22,12560.0,2,1,CHOU Tien Chen,2,殺球,0,0,1.0,3,496.0,325.0,2.0,8,228.4141663973896,648.102931681419,,,,,8.0,-0.5315821272802366,-1.3719453406716668,8.0,-0.050175850127641364,1.2593724427023638,0,1,1,2
3,13,0:08:23,12577.0,2,1,Kento MOMOTA,2,接殺防守,0,1,1.0,8,746.0,554.0,2.0,8,244.86698084308867,349.35711298693866,,,,,8.0,0.7125708020988131,1.1405640988561185,8.0,-0.1812708430769839,-1.2925914617813623,0,1,1,2
3,14,0:08:24,12602.0,2,1,CHOU Tien Chen,2,挑球,0,1,2.0,8,756.0,391.0,1.0,8,110.03841723444349,752.9727700973215,,,,,8.0,0.7321835403122325,-0.5570285995211472,8.0,0.3837500935212668,1.0459583804195471,0,1,1,2
3,15,0:08:25,12631.0,2,1,Kento MOMOTA,2,切球,0,0,2.0,8,501.0,627.0,1.0,8,116.33256560035765,345.94311024725886,,,,,9.0,-0.6225732840317648,1.5461022327820917,8.0,-0.14706326356956334,-0.9316239302548471,0,1,1,2
3,16,0:08:26,12655.0,2,1,CHOU Tien Chen,2,平球,0,0,2.0,8,539.0,390.0,1.0,8,225.15571075678685,655.7881513723221,,,,,8.0,-0.5574961671852533,-0.6525677165918896,8.0,-0.35113429357857256,1.220769620900293,0,1,1,2
3,17,0:08:26,12670.0,2,1,Kento MOMOTA,2,接殺防守,0,1,2.0,8,740.0,559.0,1.0,9,115.08689484027165,188.25707887827755,,,,,8.0,0.35811477708976136,1.0772575966043536,8.0,0.1046860602451435,-0.83526070533199,0,1,1,2
3,18,0:08:28,12702.0,2,1,CHOU Tien Chen,2,長球,0,0,2.0,9,544.0,323.0,1.0,4,101.23160793796156,765.0112983446896,,,,,8.0,-0.6800260351643709,-1.256279810104488,8.0,-0.17559395055583663,1.1220512263182758,0,1,1,2
3,19,0:08:29,12735.0,2,1,Kento MOMOTA,2,長球,0,0,2.0,4,481.0,636.0,1.0,9,106.42051858483661,198.29936544546933,,,,,9.0,-0.8033164550535346,1.5524607047601957,8.0,-0.10975800763557131,-0.9194562362611908,0,1,1,2
3,20,0:08:30,12766.0,2,1,CHOU Tien Chen,2,殺球,0,0,1.0,9,530.0,327.0,2.0,8,229.19473504829364,668.0102184341982,,,,,9.0,-0.8061114212509191,-1.4124939461358494,8.0,-0.20487948154445684,1.1527650551400523,0,1,1,2
3,21,0:08:31,12783.0,2,1,Kento MOMOTA,2,接殺防守,0,1,1.0,8,749.0,567.0,2.0,2,254.2985457365524,377.2464895484356,,,,,8.0,0.5777419997599519,1.0308554833423258,9.0,-0.4976310967742827,-1.4906654070125398,0,1,1,2
3,22,0:08:32,12810.0,2,1,CHOU Tien Chen,2,挑球,0,1,2.0,2,774.0,404.0,1.0,4,94.02267181129918,787.3089871053414,,,,,8.0,0.6452906810128615,-0.5462221291282038,8.0,0.44493618960437165,1.0303899840123052,0,1,1,2
3,23,0:08:33,12847.0,2,1,Kento MOMOTA,2,長球,0,0,2.0,4,463.0,653.0,1.0,3,78.40610365110167,185.32739518990383,,,,,9.0,-0.4956700286677616,1.683350320709226,8.0,-0.013061831077317404,-0.9190466581779783,0,1,1,2
3,24,0:08:35,12875.0,2,1,CHOU Tien Chen,2,殺球,0,0,1.0,3,487.0,322.0,2.0,8,108.30385163437336,684.973386009598,,,,,5.0,-0.9829997109201896,-1.2960994728192814,8.0,-0.2327677188444904,1.2362462047909126,0,1,1,2
